X;Y;OBJECTID;RELI;B14BTOT;Count_;IPTA
569500;198000;98534;56951980;5;1;0
548400;154400;222;54841544;7;0;0
504100;131600;196848;50411316;4;1;0
536300;167600;327934;53631676;6;0;0
540800;156800;196850;54081568;9;1;0
537000;183100;262394;53701831;29;2;0
522200;152000;164082;52221520;3;0;0
569600;128000;98540;56961280;7;1;0
549300;147500;228;54931475;36;2;0
570200;146200;196854;57021462;3;1;0
561600;185800;164084;56161858;7;2;0
548800;150700;229;54881507;9;0;0
549200;161400;230;54921614;15;0;0
545000;149900;262398;54501499;13;2;0
549200;148300;231;54921483;51;1;0
545800;164700;262399;54581647;9;0;0
559000;144800;327941;55901448;18;3;0
570100;124500;98545;57011245;3;3;1
542900;150900;229629;54291509;12;4;0
548900;148300;233;54891483;53;2;0
539900;195600;196859;53991956;3;0;0
570700;134200;98547;57071342;3;2;1
548900;160900;234;54891609;3;1;0
543200;181500;295174;54321815;17;1;0
550800;168800;236;55081688;178;1;0
571000;198700;98550;57101987;3;1;0
540000;163000;196863;54001630;24;0;0
550800;148400;237;55081484;3;0;0
571000;124800;98551;57101248;19;1;0
550900;168600;238;55091686;115;3;0
571100;128500;98552;57111285;3;1;0
547400;178700;196865;54741787;7;0;0
550300;147600;239;55031476;4;0;0
525900;185700;327950;52591857;8;3;0
571100;124700;98554;57111247;14;1;0
550800;153800;295180;55081538;3;0;0
533400;160900;327953;53341609;5;0;0
551300;169600;244;55131696;23;0;0
551800;167400;245;55181674;7;1;0
571100;126300;98558;57111263;4;2;1
551000;155500;246;55101555;12;0;0
552300;147800;247;55231478;4;0;0
552500;147900;249;55251479;3;0;0
503500;140800;262418;50351408;23;0;0
553100;148000;251;55311480;6;1;0
508800;141400;196879;50881414;3;0;0
553400;147500;253;55341475;12;2;0
553000;148200;254;55301482;13;0;0
530200;162700;327964;53021627;21;1;0
572100;126300;98568;57211263;3;0;0
569600;124600;295194;56961246;3;1;0
537300;159900;164110;53731599;9;0;0
543200;150700;327967;54321507;5;1;0
554400;145400;260;55441454;257;9;0
528500;168800;164115;52851688;6;1;0
561800;144900;196887;56181449;18;1;0
573000;137300;98575;57301373;3;1;0
554300;173100;262;55431731;9;3;0
557800;151300;327974;55781513;3;0;0
570500;127100;327975;57051271;42;5;0
502400;131600;295206;50241316;45;0;0
573900;122700;98580;57391227;4;0;0
555600;145300;268;55561453;69;3;0
556000;145500;269;55601455;14;3;0
542600;150600;262437;54261506;28;2;0
573900;138700;98584;57391387;4;0;0
525200;177100;327982;52521771;7;0;0
542300;152700;262440;54231527;38;3;0
550800;168400;327983;55081684;170;0;0
535200;152700;164129;53521527;4;1;0
574300;144900;98588;57431449;5;0;0
540300;154900;196901;54031549;3;2;1
535800;170500;262445;53581705;4;0;0
534400;153800;164134;53441538;62;2;0
571500;123200;295218;57151232;3;1;0
574700;145300;98593;57471453;6;0;0
506700;138300;164135;50671383;99;1;0
556600;144900;281;55661449;6;0;0
567500;197400;262449;56751974;11;1;0
502100;134500;262450;50211345;35;0;0
530100;153600;164138;53011536;15;0;0
537400;177000;229681;53741770;5;1;0
556800;146100;285;55681461;11;0;0
557500;146600;288;55751466;43;2;0
557700;179400;289;55771794;9;0;0
542400;161600;295229;54241616;19;0;0
575900;146500;98607;57591465;8;1;0
558400;145400;294;55841454;3;1;0
531700;157600;196922;53171576;15;1;0
558100;133300;297;55811333;21;1;0
558300;179400;298;55831794;4;0;0
575800;134100;98611;57581341;3;1;0
507100;139000;196924;50711390;3;1;0
576100;147100;98612;57611471;19;1;0
535300;163200;164154;53531632;16;0;0
557300;149000;328011;55731490;5;0;0
533300;160400;328015;53331604;18;0;0
560300;141900;305;56031419;34;28;1
555600;180800;164161;55561808;8;1;0
528200;186400;229703;52821864;72;2;0
510500;140100;295245;51051401;5;0;0
546000;155700;164162;54601557;18;0;0
565900;126100;229704;56591261;24;1;0
576600;133800;98620;57661338;4;3;1
520800;150500;295248;52081505;124;1;0
536800;152800;196936;53681528;4;3;1
529200;152100;295249;52921521;78;1;0
545400;154200;164166;54541542;15;0;0
575700;146700;196939;57571467;21;0;0
560700;138400;314;56071384;4;3;1
546200;168800;229712;54621688;30;1;0
538600;181000;196941;53861810;132;1;0
561200;146100;315;56121461;3;0;0
561200;190800;320;56121908;6;0;0
504800;145900;196949;50481459;6;0;0
509300;151200;229720;50931512;3;0;0
561700;185600;325;56171856;19;1;0
561600;185400;326;56161854;231;1;0
532700;153600;295265;53271536;22;1;0
502100;134000;328037;50211340;3;0;0
561600;177500;328;56161775;3;0;0
574300;129100;262496;57431291;3;0;0
571000;124900;196954;57101249;12;2;0
511700;167800;196956;51171678;3;0;0
561400;186000;330;56141860;7;0;0
561500;144900;332;56151449;3;1;0
568100;127300;295274;56811273;9;0;0
571400;125300;196961;57141253;3;2;1
539200;154400;196964;53921544;9;1;0
556400;144900;262508;55641449;31;1;0
543400;181400;229739;54341814;11;1;0
562400;142400;342;56241424;3;2;1
538300;157400;196969;53831574;15;1;0
