"","OBJECTID","RELI","x_coor","y_coor","B14BTOT","Count_","IPTA"
"304",98498,56651222,566500,122200,3,2,0.66667
"305",196812,55441558,554400,155800,4,0,0
"306",186,54091517,540900,151700,23,0,0
"307",187,54091548,540900,154800,62,0,0
"308",262355,53401574,534000,157400,3,0,0
"309",188,54111509,541100,150900,105,3,0.02857
"310",164043,56751329,567500,132900,10,1,0.1
"311",189,54061546,540600,154600,71,0,0
"312",229586,51011418,510100,141800,97,3,0.03093
"313",190,54091656,540900,165600,24,0,0
"314",262358,50891427,508900,142700,24,0,0
"315",98503,56751324,567500,132400,18,3,0.16667
"316",191,54061510,540600,151000,45,4,0.08889
"317",295130,54171523,541700,152300,68,3,0.04412
"318",192,54121790,541200,179000,21,2,0.09524
"319",193,54081550,540800,155000,25,1,0.04
"320",194,54101810,541000,181000,4,2,0.5
"321",195,54191617,541900,161700,10,0,0
"322",295134,52921551,529200,155100,4,1,0.25
"323",164050,54281873,542800,187300,32,0,0
"324",98508,56751226,567500,122600,15,3,0.2
"325",196,54151506,541500,150600,55,1,0.01818
"326",197,54181509,541800,150900,21,1,0.04762
"327",198,54181567,541800,156700,21,1,0.04762
"328",98511,56771209,567700,120900,3,0,0
"329",199,54141800,541400,180000,5,0,0
"330",196825,55361562,553600,156200,4,2,0.5
"331",200,54251720,542500,172000,5,0,0
"332",98514,56832003,568300,200300,15,2,0.13333
"333",201,54301567,543000,156700,16,2,0.125
"334",202,54271888,542700,188800,4,0,0
"335",98515,56831219,568300,121900,20,0,0
"336",98516,56821964,568200,196400,43,1,0.02326
"337",203,54241535,542400,153500,16,1,0.0625
"338",196829,56111459,561100,145900,3,1,0.33333
"339",204,54271624,542700,162400,6,0,0
"340",205,54281556,542800,155600,60,0,0
"341",207,54411885,544100,188500,24,0,0
"342",327917,51481477,514800,147700,4,1,0.25
"343",208,54411567,544100,156700,3,0,0
"344",164063,51141437,511400,143700,3,0,0
"345",209,54411878,544100,187800,3,0,0
"346",210,54381502,543800,150200,9,0,0
"347",211,54421711,544200,171100,11,0,0
"348",212,54351766,543500,176600,6,0,0
"349",98526,56871998,568700,199800,18,1,0.05556
"350",213,54351642,543500,164200,3,0,0
"351",262381,54241527,542400,152700,4,2,0.5
"352",98527,56842008,568400,200800,10,0,0
"353",214,54361557,543600,155700,4,0,0
"354",164069,51751590,517500,159000,24,1,0.04167
"355",215,54361497,543600,149700,5,1,0.2
"356",98528,56911221,569100,122100,3,0,0
"357",216,54681829,546800,182900,29,1,0.03448
"358",217,54611540,546100,154000,10,0,0
"359",218,54701562,547000,156200,16,0,0
"360",327928,53761660,537600,166000,4,0,0
"361",262386,57161332,571600,133200,3,0,0
"362",164073,56591273,565900,127300,44,4,0.09091
"363",98533,56951916,569500,191600,31,0,0
"364",220,54671625,546700,162500,13,1,0.07692
"365",327930,54771825,547700,182500,3,0,0
"366",98534,56951980,569500,198000,5,1,0.2
"367",222,54841544,548400,154400,7,0,0
"368",196848,50411316,504100,131600,4,1,0.25
"369",327934,53631676,536300,167600,6,0,0
"370",196850,54081568,540800,156800,9,1,0.11111
"371",262394,53701831,537000,183100,29,2,0.06897
"372",164082,52221520,522200,152000,3,0,0
"373",98540,56961280,569600,128000,7,1,0.14286
"374",228,54931475,549300,147500,36,2,0.05556
"375",196854,57021462,570200,146200,3,1,0.33333
"376",164084,56161858,561600,185800,7,2,0.28571
"377",229,54881507,548800,150700,9,0,0
"378",230,54921614,549200,161400,15,0,0
"379",262398,54501499,545000,149900,13,2,0.15385
"380",231,54921483,549200,148300,51,1,0.01961
"381",262399,54581647,545800,164700,9,0,0
"382",327941,55901448,559000,144800,18,3,0.16667
"383",98545,57011245,570100,124500,3,3,1
"384",229629,54291509,542900,150900,12,4,0.33333
"385",233,54891483,548900,148300,53,2,0.03774
"386",196859,53991956,539900,195600,3,0,0
"387",98547,57071342,570700,134200,3,2,0.66667
"388",234,54891609,548900,160900,3,1,0.33333
"389",295174,54321815,543200,181500,17,1,0.05882
"390",236,55081688,550800,168800,178,1,0.00562
"391",98550,57101987,571000,198700,3,1,0.33333
"392",196863,54001630,540000,163000,24,0,0
"393",237,55081484,550800,148400,3,0,0
"394",98551,57101248,571000,124800,19,1,0.05263
