"","X","Y","Numero","Nom","MoyenTrans","Altitude","NumeroComm","NomCommune","y_Coord_Es","x_Coord_No","WGSlong","WGSlat"
"1125",532420,156200,8581921,"Bussigny VD, pl. du Vieux-Four","Bus",470,5624,"Bussigny",532420,156200,6.55740032491981,46.5536682856082
"1126",532879,155575,8591930,"Bussigny VD, Croix-de-Plan","Bus",426,5624,"Bussigny",532879,155575,6.56347602807939,46.5480925924493
"1127",538280,165680,8501173,"Echallens","CheminFer",617,5518,"Echallens",538280,165680,6.63253870296539,46.6395080135962
"1128",532760,156315,8594177,"Bussigny VD, Cocagne-Sullens","Bus",460,5624,"Bussigny",532760,156315,6.56181676469936,46.5547369683609
"1129",532082,155117,8595217,"Bussigny VD, Vallon","Bus",410,5624,"Bussigny",532082,155117,6.55315256272612,46.5438924542204
"1130",548626,172122,8581514,"Thierrens, Le Planchy","Bus",794,5693,"Montanaire",548626,172122,6.76693595241562,46.6983308105097
"1131",532184,154874,8595215,"Bussigny VD, Reculan","Bus",405,5624,"Bussigny",532184,154874,6.55451797233371,46.5417170073189
"1132",539219,154506,8591997,"Lausanne, Boissonnet","Bus",648,5586,"Lausanne",539219,154506,6.64627526214398,46.5390826950717
"1133",561120,142870,8501363,"Le Tremblex","CheminFerCremaillere",817,5886,"Montreux",561120,142870,6.93275173647311,46.4360425427356
"1134",549521,171498,8570354,"Neyruz-sur-Moudon,Les Rutannes","Bus",775,5693,"Montanaire",549521,171498,6.77870588820688,46.6927861148706
"1135",559569,144857,8501306,"Chamby-Mus?e","CheminFer",725,5886,"Montreux",559569,144857,6.91239821469826,46.4538247176901
"1136",560895,139504,8593777,"Villeneuve VD, Clos du Moulin","Bus",381,5414,"Villeneuve (VD)",560895,139504,6.93010801639358,46.4057508338956
"1137",536060,155150,8501164,"Cery-Fleur-de-Lys","CheminFer",543,5589,"Prilly",536060,155150,6.60500732423862,46.5445811922342
"1138",578230,147020,8501395,"Ch?teau-d'Oex-Les Granges","CheminFer",1003,5841,"Ch?teau-d'Oex",578230,147020,7.15518002452792,46.4741478681862
"1139",561945,144840,8501377,"Les Avants","CheminFer",970,5886,"Montreux",561945,144840,6.94332412778264,46.4538108870425
"1140",538089,153799,8592111,"Lausanne, Rouvraie","Bus",560,5586,"Lausanne",538089,153799,6.63164001176737,46.532619568348
"1141",567965,122439,8530066,"Grand-Moulin","CheminFer",439,5402,"Bex",567965,122439,7.02322027929735,46.2526177195485
"1142",508975,145325,8581113,"Begnins, Grange-Gr?che","Bus",682,5704,"Begnins",508975,145325,6.25386169532276,46.4530734923107
"1143",530254,153378,8592255,"Lonay, Vozy","Bus",397,5638,"Lonay",530254,153378,6.52958467201898,46.5280621405559
"1144",558489,147284,8501284,"Les Chevalleyres","CheminFer",773,5881,"Blonay",558489,147284,6.89812411316132,46.4755905558912
"1145",578168,133348,8501479,"Les Diablerets","CheminFer",1155,5411,"Ormont-Dessus",578168,133348,7.15501604758385,46.3511585321869
"1146",562050,142435,8501364,"Les Echets","CheminFerCremaillere",1100,5886,"Montreux",562050,142435,6.94488767157714,46.4321828012555
"1147",522706,154845,8501083,"Reverolle","CheminFer",602,5421,"Apples",522706,154845,6.43097072835075,46.5404286120308
"1148",569730,132492,8501469,"Les Fontanelles","CheminFer",899,5410,"Ormont-Dessous",569730,132492,7.04545466492561,46.3431310978753
"1149",540076,152835,8593831,"Lausanne, chemin du Village","Bus",588,5586,"Lausanne",540076,152835,6.6576634404504,46.5241290719577
"1150",533051,152695,8501214,"Ecublens VD, EPFL","Metro",396,5635,"Ecublens (VD)",533051,152695,6.56613596958347,46.5222041016414
"1151",566567,131877,8501199,"La Roulaz","CheminFer",1020,5407,"Leysin",566567,131877,7.00441488990923,46.3374489015919
