"","X","Y","OBJECTID","RELI","B14BTOT","Count_","IPTA","WGSlong","WGSlat"
"27615",537800,169700,292055,53781697,12,1,0,6.62572619966987,46.6756236010898
"27616",558000,178800,193749,55801788,4,1,0,6.88888238422809,46.7590569368178
"27617",555200,146000,292063,55521460,26,6,0,6.85542395454948,46.4638286826556
"27618",563800,129200,292064,56381292,41,3,0,6.96868656491089,46.3132246827573
"27619",535600,159100,160984,53561591,4,1,0,6.59845908921457,46.5800676199923
"27620",509100,147100,226531,50911471,10,1,0,6.25514000038915,46.4690558557839
"27621",511800,145800,324846,51181458,3,0,0,6.29053585043282,46.4577236236292
"27622",555800,145100,160996,55581451,108,3,0,6.86332044808453,46.4557726810613
"27623",535400,163600,259310,53541636,9,1,0,6.59521907089711,46.6205260567095
"27624",574000,133700,160999,57401337,3,1,0,7.10085019007732,46.3541765456875
"27625",529500,167600,161002,52951676,72,1,0,6.51758246903334,46.655909387464
"27626",511900,145200,193778,51191452,57,1,0,6.29195149056104,46.4523399822833
"27627",570800,191900,226551,57081919,5,0,0,7.05558656306575,46.8775786122543
"27628",513900,148200,324864,51391482,12,0,0,6.31742141495176,46.4795839478521
"27629",564600,192500,259322,56461925,16,1,0,6.97420902867228,46.8826746251046
"27630",545100,189400,324865,54511894,35,4,0,6.71876470344277,46.8534665197905
"27631",534100,154800,226554,53411548,180,4,0,6.57950543941956,46.5412427834707
"27632",555200,146500,292100,55521465,3,6,2,6.85537558022503,46.4683263669665
"27633",544900,189600,193787,54491896,26,0,0,6.71611821959582,46.855248980506
"27634",538500,167600,292101,53851676,4,0,0,6.63515507826724,46.6567988355399
"27635",562200,185400,193789,56221854,27,1,0,6.94331107536066,46.8186768938485
"27636",555100,145600,292106,55511456,12,2,0,6.85416096797605,46.4602238436664
"27637",544300,171500,292108,54431715,9,5,1,6.71045324913103,46.6923887905602
"27638",541300,187800,292110,54131878,15,0,0,6.66914624315251,46.8387502878948
"27639",557600,144300,324882,55761443,10,0,0,6.88682205192206,46.4486926346183
"27640",538800,178300,324884,53881783,3,1,0,6.63764737319972,46.7530731984597
"27641",536300,154300,226572,53631543,29,2,0,6.60825339625937,46.5369582511137
"27642",547100,156300,292116,54711563,52,1,0,6.74880336200108,46.5558894808143
"27643",555800,145300,324888,55581453,4,3,1,6.86330136423753,46.457571756402
"27644",532000,156200,324890,53201562,50,2,0,6.55192403305236,46.5536257328992
"27645",560700,138900,292121,56071389,39,6,0,6.92762341105295,46.4003062002402
"27646",538100,155600,259350,53811556,27,1,0,6.6315419481065,46.5488207986235
"27647",567300,121700,292123,56731217,13,0,0,7.01464876098646,46.2459380906994
"27648",505600,135600,226581,50561356,8,0,0,6.21191878276053,46.3651350232706
"27649",564400,186500,324897,56441865,3,0,0,6.97205318836121,46.8286928884099
"27650",542500,150300,226585,54251503,19,1,0,6.68956816119138,46.5015388333904
"27651",549900,155300,292128,54991553,3,0,0,6.7854230989338,46.5471097182481
"27652",533500,154700,324903,53351547,167,2,0,6.57169834069725,46.5402839287492
"27653",554700,172200,259362,55471722,16,0,0,6.84634095456091,46.699472400711
"27654",527300,153000,161053,52731530,4,2,1,6.49114613764844,46.5243477547837
"27655",569500,192300,226596,56951923,20,2,0,7.03850647192776,46.881118347235
"27656",536200,154200,193828,53621542,26,4,0,6.60696372456967,46.536049217032
"27657",546800,160600,226602,54681606,7,0,0,6.74439541807754,46.5945451858418
"27658",557600,143900,259375,55761439,9,0,0,6.88685865173962,46.4450944756983
"27659",503700,131500,226608,50371315,6,0,0,6.18808172511382,46.3279878762945
"27660",503700,144900,193840,50371449,9,1,0,6.18530251228834,46.4485137627674
"27661",546600,183300,259383,54661833,5,0,0,6.73914523590988,46.7987189900164
"27662",543800,149600,161070,54381496,3,1,0,6.70658769257185,46.4953525273456
"27663",575400,145800,259384,57541458,3,0,0,7.11839709829167,46.4630753928505
"27664",502200,128900,292155,50221289,12,1,0,6.16915228993335,46.3043856962755
"27665",507400,162600,161072,50741626,9,2,0,6.22990130348113,46.6082382981179
"27666",538100,155900,193845,53811559,41,0,0,6.63150171692883,46.5515193338036
"27667",510300,141400,324929,51031414,87,1,0,6.2718647953286,46.4179482213415
"27668",560800,138400,193848,56081384,48,4,0,6.92896588283563,46.3958143336553
"27669",530900,159000,161079,53091590,11,2,0,6.53716197877699,46.5786990157114
"27670",539900,155200,226623,53991552,3,1,0,6.65506207785961,46.5453868262204
"27671",555200,146200,292168,55521462,11,2,0,6.85540460579484,46.4656277564249
"27672",544600,151200,226627,54461512,3,1,0,6.71681603640435,46.509811536733
"27673",539600,184900,292170,53961849,8,1,0,6.64724600244508,46.8125129330281
"27674",508500,138300,161086,50851383,8,1,0,6.24906616054316,46.389821881097
"27675",541600,172400,161089,54161724,29,1,0,6.67504297472462,46.70025356212
"27676",563000,142700,324945,56301427,3,2,1,6.95722620607017,46.4346196823597
"27677",506300,142800,193862,50631428,8,0,0,6.21956023756396,46.4299937108436
"27678",547900,150200,324947,54791502,3,0,0,6.75992304851369,46.501081141637
"27679",524600,172100,259408,52461721,3,0,0,6.45283387462151,46.6958507896488
"27680",541200,176400,193866,54121764,7,1,0,6.6693004767642,46.7361986499194
"27681",529600,162200,292179,52961622,49,2,0,6.51971493511097,46.6073472953762
"27682",506300,145200,226642,50631452,3,1,0,6.21907496101623,46.451580583855
"27683",550900,168700,292184,55091687,204,3,0,6.79703233027333,46.6677203765556
"27684",495300,146600,95559,49531466,18,1,0,6.0756144587779,46.462544664856
"27685",537200,182500,161101,53721825,4,1,0,6.61613182805813,46.7907031445127
"27686",561300,145200,226644,56131452,3,0,0,6.93489914795917,46.4570123174663
"27687",531500,163300,161103,53151633,3,0,0,6.5443495796195,46.6174391826746
"27688",572900,125800,226646,57291258,3,0,0,7.08701917087481,46.2830684597082
"27689",503000,130500,324959,50301305,4,0,0,6.17920149265486,46.3188927317475
"27690",563000,186000,292191,56301860,7,0,0,6.95374532242111,46.8241189521283
"27691",565900,121600,259424,56591216,3,0,0,6.99650403929238,46.24496906188
"27692",540600,185700,324968,54061857,7,1,0,6.66024367518705,46.8197988383752
"27693",504500,143600,226656,50451436,16,0,0,6.19598058647317,46.4369353755403
"27694",537400,154600,292200,53741546,184,1,0,6.62255111265807,46.5397605710186
"27695",541000,155700,161116,54101557,5,1,0,6.66933887912432,46.5499822918183
"27696",528200,153300,324975,52821533,5,0,0,6.50282798260209,46.5271433751755
"27697",539600,180700,161121,53961807,3,1,0,6.64780056902342,46.7747341266548
"27698",557000,147400,161125,55701474,20,0,0,6.87872578179331,46.4765401248793
"27699",530200,152000,324983,53021520,71,0,0,6.52908907885547,46.5156614043608
"27700",501800,133400,95589,50181334,30,1,0,6.16301158322458,46.344802249028
"27701",502300,129300,95593,50231293,36,0,0,6.17036619082363,46.3079980089267
"27702",502800,130100,95594,50281301,14,0,0,6.17668868924208,46.3152660558003
"27703",563900,187400,259449,56391874,5,1,0,6.96542907475897,46.8367616450404
"27704",540500,154000,193908,54051540,156,1,0,6.66303890006486,46.5346462529265
"27705",502900,128600,95595,50291286,7,0,0,6.17829951685047,46.3017888536604
"27706",506400,143800,226681,50641438,3,1,0,6.22065913268414,46.4390022096207
"27707",545600,166200,259452,54561662,22,2,0,6.72807499767773,46.6448216906635
"27708",562400,185900,292224,56241859,50,0,0,6.94589064264055,46.8231858184629
"27709",554200,168200,259453,55421682,7,0,0,6.84020253716802,46.6634572544688
"27710",503600,130600,95599,50361306,59,1,0,6.18696975355071,46.3198785214919
"27711",584200,149500,226684,58421495,4,0,0,7.23282755296037,46.4966242682547
"27712",503900,131600,95602,50391316,4,1,0,6.19065783398001,46.3289159603441
"27713",567700,121900,292228,56771219,3,2,1,7.01982122626258,46.2477564996119
"27714",536400,159300,325000,53641593,51,2,0,6.60886770668051,46.5819431934602
"27715",503500,133500,95603,50351335,4,0,0,6.18507009690313,46.3459480997639
"27716",505100,143600,95606,50511436,11,1,0,6.20378654028354,46.4370205658696
"27717",504900,146000,95609,50491460,3,0,0,6.20069189322207,46.4585790209376
"27718",505600,145700,95613,50561457,4,2,1,6.2098636381263,46.4559796258094
"27719",557100,175400,292240,55711754,6,0,0,6.87742057985251,46.7284158347314
"27720",506200,161000,95615,50621610,7,0,0,6.21456568138061,46.5936798111781
"27721",548200,154600,325013,54821546,3,0,0,6.76333777023351,46.5406836026824
"27722",506400,138000,95616,50641380,316,2,0,6.22182941168078,46.3868339101824
"27723",538600,151100,193930,53861511,86,1,0,6.63865894959434,46.5083887653174
"27724",506400,142800,95617,50641428,5,0,0,6.22086106791374,46.4300076762001
"27725",507200,138500,95620,50721385,72,4,0,6.23212786782974,46.3914422838569
"27726",507000,139300,95621,50701393,3,0,0,6.22936777559711,46.3986102355891
"27727",550600,168500,161163,55061685,84,0,0,6.79313381099331,46.6658992040308
"27728",507100,137000,95622,50711370,30,0,0,6.23112803533228,46.3779366218962
"27729",553800,147100,259478,55381471,5,2,0,6.83708949246977,46.4736285283347
"27730",508700,139000,95623,50871390,26,2,0,6.25152824602858,46.3961453315753
"27731",508700,139400,95624,50871394,39,2,0,6.25144956540908,46.3997431666197
"27732",538800,161000,193938,53881610,44,0,0,6.6399518131015,46.5974588193423
