X,Y,Numero,Nom,MoyenTrans,Altitude,NumeroComm,NomCommune
6.778536,46.481058,8504013,Chexbres-Village,CheminFer,560,5601,Chexbres
6.980552,46.316359,8501468,Aigle-D�p�t ASD,CheminFer,440,5401,Aigle
6.630387,46.52052,8519590,Lausanne-Flon (LEB),CheminFer,480,5586,Lausanne
6.52368,46.606012,8501115,Cossonay-Penthalaz,CheminFer,428,5495,Penthalaz
6.446514,46.526783,8501092,Bussy-Chardonney,Bus_CheminFer,506,5625,Bussy-Chardonney
6.573574,46.522459,8501213,"Ecublens VD, UNIL-Sorge",Metro,391,5635,Ecublens (VD)
7.00836,46.344445,8501482,Leysin-Feydey,CheminFer,1398,5407,Leysin
6.212466,46.358762,8501017,Crans,CheminFer,394,5713,Crans-pr�s-C�ligny
6.455897,46.482315,8501036,St-Prex,CheminFer,395,5646,Saint-Prex
6.427325,46.519957,8501093,Yens,CheminFer,527,5655,Yens
6.841921,46.460565,8579149,"Vevey, March�",Bus,377,5890,Vevey
7.131414,46.474671,8501394,Ch�teau-d'Oex,CheminFer,968,5841,Ch�teau-d'Oex
6.83543,46.468276,8504015,Vevey-Funi,CheminFer,388,5890,Vevey
6.64194,46.806278,8504201,Grandson,CheminFer,436,5561,Grandson
6.53399,46.524985,8501143,Lausanne-Triage Sud,CheminFer,392,5632,Denges
6.960291,46.835256,8504123,Corcelles-Nord,CheminFer,448,5816,Corcelles-pr�s-Payerne
6.54763,46.532433,8515341,Lausanne-Triage D,CheminFer,397,5633,Echandens
6.906123,46.442038,8501390,Belmont-sur-Montreux,CheminFer,465,5886,Montreux
6.634442,46.514197,8515338,Lausanne Est,CheminFer,446,5586,Lausanne
6.523577,46.524164,8518430,Lausanne-Triage Ouest,CheminFer,392,5586,Lausanne
6.923509,46.428283,8592618,Collonge (funi),Funiculaire,461,5886,Montreux
6.494383,46.656394,8570146,"Ferreyres, La Tine",Bus,528,5483,Ferreyres
6.317089,46.664306,8501151,Les Charbonni�res,CheminFer,1025,5873,Le Lieu
6.390232,46.54966,8501085,Ballens-Froideville,CheminFer,681,5423,Ballens
6.484461,46.506551,8501054,La Gottaz,CheminFer,398,5642,Morges
6.229027,46.391157,8501059,Les Plantaz,CheminFer,420,5724,Nyon
6.975101,46.436403,8501368,La Perche,CheminFerCremaillere,1799,5886,Montreux
7.134032,46.474525,8530674,Ch�teau-d'Oex TCPM/TPBM,Telepherique,958,5841,Ch�teau-d'Oex
6.627288,46.523808,8592011,"Lausanne, Chauderon-Ale",Bus,500,5586,Lausanne
6.647876,46.541073,8591977,"Lausanne, Abeilles",Bus,663,5586,Lausanne
6.637454,46.519355,8591991,"Lausanne, Benj. Constant",Bus,500,5586,Lausanne
6.631205,46.523351,8592113,"Lausanne, rue Neuve",Bus,508,5586,Lausanne
6.22231,46.460567,8501064,Bassins,CheminFer,756,5702,Arzier-Le Muids
6.622855,46.523903,8592001,"Lausanne, Boston",Bus,490,5586,Lausanne
6.56816,46.710085,8501112,Chavornay,Bus_CheminFer,447,5749,Chavornay
6.635533,46.527663,8592091,"Lausanne, Petit Ch�teau",Bus,567,5586,Lausanne
6.209998,46.581044,8595465,"Le Brassus, Les Horlogers",Bus,1033,5872,Le Chenit
6.888596,46.462456,8593907,"Blonay, Champsavaux",Bus,539,5881,Blonay
6.225604,46.590892,8595464,"Le Brassus, Le Campe",Bus,1030,5872,Le Chenit
6.324753,46.668456,8570161,"Le Pont, gare",Bus,1004,5871,L'Abbaye
7.071804,46.365133,8570622,"Le S�pey, Aux Caudreys",Bus,1210,5410,Ormont-Dessous
6.660425,46.827186,8570274,"Champagne, Le Moulin",Bus,447,5553,Champagne
6.943541,46.454298,8501350,Les Avants (funi),Funiculaire,970,5886,Montreux
7.095579,46.390719,8501346,"Les Mosses, �glise",Bus,1414,5410,Ormont-Dessous
7.001256,46.258706,8580669,"Bex, En Bellin",Bus,421,5402,Bex
7.025801,46.235544,8582114,"Bex, Le Ch�tel",Bus,515,5402,Bex
6.543972,46.529805,8501141,Lausanne-Triage A/B,CheminFer,396,5632,Denges
6.529709,46.525319,8501150,Lausanne-Triage F,CheminFer,392,5638,Lonay
6.57889,46.525,8501212,"Chavannes-p.-R., UNIL-Mouline",Metro,385,5627,Chavannes-pr�s-Renens
6.520722,46.526507,8592250,"Lonay, �glise",Bus,410,5638,Lonay
6.205222,46.428849,8501067,Givrins,CheminFer,554,5720,Givrins
6.646949,46.780135,8515370,Yverdon Est (bif),CheminFer,436,5938,Yverdon-les-Bains
6.784583,46.474202,8501126,Rivaz,Bus_CheminFer,377,5609,Rivaz
6.336226,46.470664,8500737,"Mont-sur-Rolle, �glise",Bus,476,5859,Mont-sur-Rolle
6.499858,46.511223,8592277,"Morges, St-Louis",Bus,374,5642,Morges
6.639043,46.537998,8592063,"Lausanne, Lac Sauvabelin",Bus,663,5586,Lausanne
6.566542,46.527758,8501216,"Ecublens VD, Cerisaie",Metro,396,5635,Ecublens (VD)
6.684066,46.501826,8592156,"Lutry, port",Bus,374,5606,Lutry
6.636263,46.541747,8592092,"Lausanne, Pi�cettes",Bus,648,5586,Lausanne
6.272717,46.442446,8500733,"Luins, village",Bus,446,5858,Luins
6.354865,46.478805,8500734,"Bougy-Villars, centre",Bus,548,5426,Bougy-Villars
7.02535,46.915047,8580758,"Salavaux, Le Pont",Bus,430,5464,Vully-les-Lacs
6.604668,46.856911,8504277,"Mauborget, bif. La Magnenaz",Bus,1206,5562,Mauborget
6.474946,46.506003,8592281,"Tolochenaz, Le Portail",Bus,419,5649,Tolochenaz
6.646822,46.772721,8594040,"Yverdon-les-Bains, h�pital",Bus,434,5938,Yverdon-les-Bains
6.561567,46.525884,8591951,"Ecublens VD, Motty",Bus,421,5635,Ecublens (VD)
6.629533,46.847248,8570265,"Villars-Burquin, Laiterie",Bus,753,5571,T�venon
6.76568,46.493838,8504012,Puidoux-Chexbres,CheminFer,618,5607,Puidoux
6.714958,46.502603,8588454,"Grandvaux, Pra Grana",Bus,645,5613,Bourg-en-Lavaux
6.677334,46.630523,8579669,"Poliez-Pittet, coll�ge",Bus,709,5533,Poliez-Pittet
6.346829,46.462687,8570037,"Rolle, Bellefontaine",Bus,384,5861,Rolle
6.892643,46.461315,8579210,"Blonay, Portaz",Bus,600,5881,Blonay
6.901949,46.366786,8580445,"Noville, Chotron",Bus,379,5408,Noville
6.886915,46.462565,8593905,"Blonay, Antiquaire",Bus,538,5881,Blonay
6.596024,46.828564,8507694,"Novalles, coll�ge",Bus,569,5564,Novalles
6.237293,46.393063,8593878,"Nyon, Chantemerle",Bus,417,5724,Nyon
6.225766,46.382864,8579306,"Nyon, h�pital",Bus,415,5724,Nyon
6.230829,46.390223,8593879,"Nyon, chemin de Bourgogne",Bus,420,5724,Nyon
6.234338,46.379122,8593880,"Nyon, chemin des Pens�es",Bus,401,5724,Nyon
6.233851,46.391713,8593881,"Nyon, chemin des Plantaz",Bus,420,5724,Nyon
6.21454,46.384326,8594847,"Nyon, Terre-Bonne",Bus,428,5724,Nyon
6.637537,46.645939,8570301,"Echallens, La Fontaine",Bus,625,5518,Echallens
6.637802,46.640409,8570203,"Echallens, place Emile Gardaz",Bus,622,5518,Echallens
7.183331,46.36337,8501555,Isenau,Telepherique,1766,5411,Ormont-Dessus
6.459815,46.817791,8593785,"L'Auberson, ch. des Grangettes",Bus,1102,5568,Sainte-Croix
7.037622,46.853652,8583521,"Oleyres, coll�ge",Bus,550,5451,Avenches
6.570845,46.576433,8588849,"Mex VD, ch. de la Richardaz",Bus,560,5489,Mex (VD)
6.539334,46.578311,8593779,"Vufflens-la-V.,salle de sports",Bus,476,5503,Vufflens-la-Ville
6.49189,46.513837,8570069,"Morges, La Tour",Bus,406,5642,Morges
6.499157,46.508869,8592261,"Morges, Casino",Bus,374,5642,Morges
6.500964,46.51358,8592276,"Morges, St-Domingue",Bus,375,5642,Morges
6.496688,46.509982,8592262,"Morges, Charpentiers",Bus,375,5642,Morges
6.485212,46.503859,8589249,"Morges, Riond-Bosson",Bus,374,5642,Morges
6.488562,46.512667,8592264,"Morges, Delay",Bus,390,5642,Morges
6.916126,46.430309,8593923,"Montreux, Bon-Port",Bus,387,5886,Montreux
6.875283,46.498383,8591902,"Monts-de-Corsier, Daut�re",Bus,765,5884,Corsier-sur-Vevey
6.91105,46.433182,8593940,"Montreux, rue du March�",Bus,391,5886,Montreux
6.740367,46.522418,8582775,"Forel (Lavaux), La Chercotte",Bus,720,5604,Forel (Lavaux)
6.910062,46.435822,8593929,"Montreux, gare",Bus,386,5886,Montreux
6.493257,46.5072,8589248,"Morges, ch. du Bochet",Bus,378,5642,Morges
6.907138,46.43804,8593925,"Montreux, Centre des Congr�s",Bus,380,5886,Montreux
6.703405,46.692488,8570307,"Bercher, gare",Bus,624,5512,Bercher
6.797615,46.67259,8581513,"Moudon, Chalet-Blanc",Bus,549,5678,Moudon
6.626341,46.59129,8581185,"Morrens VD, place du village",Bus,702,5527,Morrens (VD)
6.629268,46.590151,8581186,"Morrens VD, poste",Bus,695,5527,Morrens (VD)
6.502571,46.665701,8501894,"St-Loup, h�pital",Bus,534,5497,Pompaples
6.67635,46.520612,8595190,"Belmont-sur-Lausanne, Malavaux",Bus,588,5581,Belmont-sur-Lausanne
6.723796,46.886386,8570284,"Mutrux, Le Ravin (Sylvabella)",Bus,756,5563,Mutrux
