X,Y,field_1,OBJECTID,RELI,B14BTOT,Count_,IPTA
6.432788,46.508553,176,112,52281513,3,0,0
6.474701,46.496321,177,113,52601499,29,0,0
7.034584,46.879305,178,229510,56921921,34,0,0
6.917823,46.473128,179,98427,56001470,3,1,0
6.460553,46.486304,180,115,52491488,61,2,0
6.908631,46.747456,181,98428,55951775,3,0,0
6.45378,46.50064,182,116,52441504,8,0,0
6.462606,46.516909,183,117,52511522,4,0,0
6.885365,46.463978,184,327827,55751460,9,1,0
6.925099,46.392199,185,98430,56051380,52,0,0
6.232209,46.446323,186,196744,50731446,3,1,0
6.486202,46.509013,187,118,52691513,47,4,0
6.4876,46.503627,188,119,52701507,142,3,0
6.490149,46.655684,189,120,52741676,3,0,0
6.925737,46.737639,190,98434,56081764,5,1,0
6.575349,46.638369,191,229518,53391656,8,1,0
6.493956,46.512676,192,121,52751517,11,2,0
6.501891,46.656681,193,122,52831677,3,0,0
6.496407,46.821265,194,123,52811860,32,1,0
6.500385,46.818599,195,124,52841857,26,2,0
6.928603,46.434495,196,98437,56081427,10,4,0
6.493724,46.824841,197,125,52791864,13,0,0
6.607047,46.530652,198,295064,53621536,144,3,0
6.930594,46.360738,199,98438,56091345,31,3,0
6.498606,46.545101,200,126,52791553,7,0,0
6.522453,46.522805,201,127,52971528,3,2,1
6.204045,46.597165,202,327837,50541614,10,0,0
6.522482,46.752207,203,128,53001783,52,0,0
6.525589,46.568711,204,129,53001579,5,0,0
6.929786,46.447094,205,98442,56091441,5,1,0
6.520844,46.694619,206,130,52981719,12,2,0
7.192492,46.486649,207,163986,58111484,3,0,0
6.511257,46.567695,208,131,52891578,5,1,0
6.527531,46.60831,209,132,53021623,9,1,0
6.935533,46.388647,210,98446,56131376,5,1,0
6.530767,46.648818,211,133,53051668,16,1,0
6.504441,46.584732,212,262302,52841597,16,0,0
6.533379,46.648839,213,134,53071668,6,0,0
6.537926,46.532825,214,135,53091539,23,1,0
7.163233,46.349847,215,327846,57881332,3,1,0
6.539199,46.534634,216,136,53101541,54,1,0
6.203039,46.412721,217,163992,50501409,8,1,0
6.553488,46.617511,218,138,53221633,9,0,0
6.604385,46.618794,219,163994,53611634,6,0,0
6.555865,46.551857,220,139,53231560,64,0,0
6.560258,46.522204,221,140,53261527,16,2,0
6.911185,46.887799,222,196767,55981931,6,1,0
6.575681,46.535816,223,141,53381542,265,4,0
6.798403,46.662331,224,295080,55101681,3,0,0
6.571626,46.707611,225,142,53371733,30,1,0
6.568039,46.767857,226,143,53351800,3,1,0
6.565436,46.766937,227,144,53331799,46,1,0
6.571914,46.526791,228,145,53351532,3,1,0
6.594586,46.828329,229,229542,53561867,25,1,0
6.94739,46.802502,230,98459,56251836,5,0,0
6.583762,46.767076,231,146,53471799,3,1,0
6.66145,46.917861,232,262315,54081966,3,0,0
6.579534,46.539444,233,149,53411546,170,4,0
6.177114,46.408837,234,327859,50301405,28,2,0
6.315116,46.465167,235,327860,51371466,3,1,0
6.839953,46.5681,236,164005,55411576,15,1,0
6.577904,46.641987,237,150,53411660,18,1,0
6.575206,46.647364,238,151,53391666,9,0,0
6.582153,46.785956,239,152,53461820,16,1,0
6.520906,46.691021,240,196778,52981715,18,0,0
6.596774,46.520681,241,153,53541525,19,1,0
6.967303,46.323114,242,98466,56371303,14,0,0
6.566279,46.795731,243,196780,53341831,3,0,0
6.598696,46.564776,244,154,53561574,21,1,0
6.590646,46.57911,245,155,53501590,3,1,0
6.992209,46.294429,246,295096,56561271,20,2,0
6.596541,46.703299,247,157,53561728,4,1,0
6.744545,46.582851,248,229554,54681593,6,0,0
6.605096,46.742045,249,158,53631771,28,1,0
7.088479,46.257885,250,229555,57301230,4,0,0
6.601597,46.545906,251,159,53581553,8,2,0
7.138506,46.357881,252,229556,57691341,3,1,0
6.508237,46.667528,253,164014,52881689,17,0,0
6.976485,46.923163,254,98473,56481970,6,0,0
6.604094,46.637684,255,160,53611655,7,0,0
6.603427,46.68086,256,161,53611703,38,1,0
6.609681,46.528872,257,162,53641534,89,1,0
7.038132,46.931491,258,327872,56951979,23,1,0
6.415031,46.620849,259,229559,52161638,80,3,0
6.615154,46.511819,260,163,53681515,15,1,0
6.981706,46.926782,261,98477,56521974,21,1,0
6.611039,46.525284,262,164,53651530,296,5,0
6.612219,46.533389,263,165,53661539,125,5,0
6.988293,46.297112,264,98478,56531274,28,1,0
6.626543,46.534391,265,166,53771540,324,1,0
6.254738,46.6067,266,229563,50931624,4,0,0
6.622884,46.777258,267,167,53771810,12,0,0
6.983012,46.927687,268,98481,56531975,8,1,0
6.628866,46.640561,269,168,53801658,53,2,0
6.691926,46.519546,270,229565,54271523,20,1,0
6.62884,46.555099,271,169,53791563,26,0,0
6.990918,46.293524,272,98482,56551270,14,2,0
6.628382,46.585682,273,327879,53791597,17,0,0
6.628921,46.549702,274,170,53791557,105,1,0
6.63592,46.517366,275,171,53841521,92,7,0
6.919426,46.44165,276,196797,56011435,8,1,0
6.63568,46.533557,277,172,53841539,106,2,0
7.002893,46.256688,278,98485,56641229,3,1,0
6.635106,46.572236,279,173,53841582,3,1,0
6.670237,46.762293,280,196799,54131793,3,0,0
6.996197,46.28275,281,98486,56591258,36,1,0
6.991039,46.909728,282,98487,56591955,4,0,0
6.63435,46.535347,283,174,53831541,198,1,0
6.675361,46.677766,284,327884,54161699,11,0,0
6.637393,46.770164,285,175,53881802,244,1,0
6.447761,46.473599,286,229573,52391474,3,0,0
6.653194,46.853935,287,295115,54011895,7,1,0
6.636256,46.846621,288,176,53881887,5,1,0
6.64641,46.512941,289,177,53921516,96,1,0
6.42609,46.518389,290,164032,52231524,12,1,0
6.641912,46.641553,291,178,53901659,31,4,0
6.64587,46.638882,292,179,53931656,3,3,1
6.99627,46.273754,293,98492,56591248,3,0,0
6.642993,46.656854,294,180,53911676,17,0,0
6.643923,46.504827,295,181,53901507,16,0,0
6.781833,46.628052,296,229578,54971643,3,1,0
6.650399,46.686592,297,182,53971709,8,0,0
6.89323,46.458619,298,229580,55811454,7,0,0
6.656781,46.516611,299,183,54001520,58,3,0
6.660212,46.54992,300,184,54031557,4,2,1
6.718322,46.494528,301,327894,54471495,3,2,1
6.664599,46.516665,302,196811,54061520,29,3,0
6.665941,46.513975,303,185,54071517,104,2,0
7.00424,46.250396,304,98498,56651222,3,2,1
6.844043,46.551929,305,196812,55441558,4,0,0
6.668547,46.513993,306,186,54091517,23,0,0
6.66815,46.541878,307,187,54091548,62,0,0
6.57783,46.56462,308,262355,53401574,3,0,0
6.671255,46.506814,309,188,54111509,105,3,0
7.016461,46.346697,310,164043,56751329,10,1,0
6.664265,46.540052,311,189,54061546,71,0,0
6.269186,46.421519,312,229586,51011418,97,3,0
6.666765,46.639025,313,190,54091656,24,0,0
6.253402,46.429453,314,262358,50891427,24,0,0
7.016496,46.342199,315,98503,56751324,18,3,0
6.664728,46.50767,316,191,54061510,45,4,0
6.678895,46.51946,317,295130,54171523,68,3,0
6.668967,46.759586,318,192,54121790,21,2,0
6.666821,46.543668,319,193,54081550,25,1,0
6.666091,46.777558,320,194,54101810,4,2,1
6.680317,46.604032,321,195,54191617,10,0,0
6.515584,46.543441,322,295134,52921551,4,1,0
6.688871,46.834383,323,164050,54281873,32,0,0
7.017179,46.254044,324,98508,56751226,15,3,0
6.676504,46.504151,325,196,54151506,55,1,0
6.680374,46.506875,326,197,54181509,21,1,0
6.679643,46.559048,327,198,54181567,21,1,0
7.01989,46.238761,328,98511,56771209,3,0,0
6.671457,46.768598,329,199,54141800,5,0,0
6.833572,46.555472,330,196825,55361562,4,2,1
6.68686,46.696734,331,200,54251720,5,0,0
7.022207,46.953023,332,98514,56832003,15,2,0
6.695292,46.559151,333,201,54301567,16,2,0
6.687372,46.847867,334,202,54271888,4,0,0
7.027601,46.247785,335,98515,56831219,20,0,0
7.021166,46.917938,336,98516,56821964,43,1,0
6.687867,46.530315,337,203,54241535,16,1,0
6.932237,46.463298,338,196829,56111459,3,1,0
6.690671,46.610398,339,204,54271624,6,0,0
6.69282,46.549239,340,205,54281556,60,0,0
6.705763,46.845288,341,207,54411885,24,0,0
6.329232,46.475202,342,327917,51481477,4,1,0
6.709636,46.559244,343,208,54411567,3,0,0
6.285731,46.438782,344,164063,51141437,3,0,0
6.705849,46.838991,345,209,54411878,3,0,0
6.706515,46.50075,346,210,54381502,9,0,0
6.709195,46.688782,347,211,54421711,11,0,0
6.699367,46.738196,348,212,54351766,6,0,0
7.027496,46.948545,349,98526,56871998,18,1,0
6.700892,46.626657,350,213,54351642,3,0,0
6.687966,46.523119,351,262381,54241527,4,2,1
7.023486,46.957526,352,98527,56842008,10,0,0
6.703238,46.550206,353,214,54361557,4,0,0
6.362367,46.57718,354,164069,51751590,24,1,0
6.70397,46.496235,355,215,54361497,5,1,0
7.037961,46.249621,356,98528,56911221,3,0,0
6.741811,46.795137,357,216,54681829,29,1,0
6.736032,46.535121,358,217,54611540,10,0,0
6.747511,46.554982,359,218,54701562,16,0,0
6.623615,46.642323,360,327928,53761660,4,0,0
7.069701,46.349582,361,262386,57161332,3,0,0
6.996087,46.296243,362,164073,56591273,44,4,0
7.038553,46.874822,363,98533,56951916,31,0,0
6.742871,46.611628,364,220,54671625,13,1,0
6.753645,46.79161,365,327930,54771825,3,0,0
7.038125,46.932391,366,98534,56951980,5,1,0
6.765967,46.5389,367,222,54841544,7,0,0
6.193255,46.328945,368,196848,50411316,4,1,0
6.606415,46.656593,369,327934,53631676,6,0,0
6.66659,46.559859,370,196850,54081568,9,1,0
6.61343,46.796081,371,262394,53701831,29,2,0
6.424854,46.51478,372,164082,52221520,3,0,0
7.044059,46.302717,373,98540,56961280,7,1,0
6.778456,46.476901,374,228,54931475,36,2,0
7.050679,46.466463,375,196854,57021462,3,1,0
6.935415,46.822241,376,164084,56161858,7,2,0
6.771592,46.505648,377,229,54881507,9,0,0
6.775625,46.601928,378,230,54921614,15,0,0
6.722182,46.498151,379,262398,54501499,13,2,0
6.777066,46.48409,380,231,54921483,51,1,0
6.730864,46.631345,381,262399,54581647,9,0,0
6.904998,46.453277,382,327941,55901448,18,3,0
7.050774,46.271256,383,98545,57011245,3,3,1
6.694705,46.50697,384,229629,54291509,12,4,0
6.773159,46.484067,385,233,54891483,53,2,0
6.649767,46.908785,386,196859,53991956,3,0,0
7.057946,46.358538,387,98547,57071342,3,2,1
6.771765,46.597408,388,234,54891609,3,1,0
6.694834,46.782247,389,295174,54321815,17,1,0
6.795715,46.668613,390,236,55081688,178,1,0
7.057777,46.938754,391,98550,57101987,3,1,0
6.655351,46.615558,392,196863,54001630,24,0,0
6.797891,46.485109,393,237,55081484,3,0,0
7.06243,46.273994,394,98551,57101248,19,1,0
6.797043,46.666821,395,238,55091686,115,3,0
7.063497,46.307281,396,98552,57111285,3,1,0
6.750153,46.757405,397,196865,54741787,7,0,0
6.791466,46.477876,398,239,55031476,4,0,0
6.467629,46.818325,399,327950,52591857,8,3,0
7.063733,46.273098,400,98554,57111247,14,1,0
6.797317,46.533684,401,295180,55081538,3,0,0
6.5695,46.596043,402,327953,53341609,5,0,0
6.802164,46.675845,403,244,55131696,23,0,0
6.808929,46.656092,404,245,55181674,7,1,0
7.063634,46.287491,405,98558,57111263,4,2,1
6.799743,46.54899,406,246,55101555,12,0,0
6.817487,46.47982,407,247,55231478,4,0,0
6.820081,46.480734,408,249,55251479,3,0,0
6.183553,46.411608,409,262418,50351408,23,0,0
6.827884,46.481676,410,251,55311480,6,1,0
6.252357,46.417746,411,196879,50881414,3,0,0
6.831841,46.477199,412,253,55341475,12,2,0
6.826562,46.483468,413,254,55301482,13,0,0
6.52747,46.611908,414,327964,53021627,21,1,0
7.07661,46.287533,415,98568,57211263,3,0,0
7.044281,46.272133,416,295194,56961246,3,1,0
6.620527,46.587425,417,164110,53731599,9,0,0
6.698638,46.505197,418,327967,54321507,5,1,0
6.845069,46.458378,419,260,55441454,257,9,0
6.504332,46.666597,420,164115,52851688,6,1,0
6.941432,46.454342,421,196887,56181449,18,1,0
7.087649,46.386521,422,98575,57301373,3,1,0
6.841022,46.707541,423,262,55431731,9,3,0
6.888787,46.511673,424,327974,55781513,3,0,0
7.055798,46.294662,425,327975,57051271,42,5,0
6.171182,46.3287,426,295206,50241316,45,0,0
7.100167,46.255222,427,98580,57391227,4,0,0
6.860698,46.457559,428,268,55561453,69,3,0
6.865886,46.459384,429,269,55601455,14,3,0
6.690834,46.504246,430,262437,54261506,28,2,0
7.09927,46.39915,431,98584,57391387,4,0,0
6.459862,46.740892,432,327982,52521771,7,0,0
6.686663,46.52311,433,262440,54231527,38,3,0
6.795758,46.665014,434,327983,55081684,170,0,0
6.59414,46.522461,435,164129,53521527,4,1,0
7.104128,46.454938,436,98588,57431449,5,0,0
6.660316,46.542724,437,196901,54031549,3,2,1
6.599478,46.68263,438,262445,53581705,4,0,0
6.583558,46.532277,439,164134,53441538,62,2,0
7.069014,46.259622,440,295218,57151232,3,1,0
7.109312,46.458552,441,98593,57471453,6,0,0
6.225669,46.389574,442,164135,50671383,99,1,0
6.873752,46.454026,443,281,55661449,6,0,0
7.011905,46.926899,444,262449,56751974,11,1,0
6.166676,46.35474,445,262450,50211345,35,0,0
6.527544,46.530043,446,164138,53011536,15,0,0
6.619503,46.74125,447,229681,53741770,5,1,0
