x;y;object_id;reli;b14btot;count
6.65041;46.506672;318113;53951509;23;1
6.903732;46.449673;219800;55891444;7;3
6.607273;46.600823;219801;53631614;4;1
6.683177;46.679617;55946;54221701;5;0
6.513473;46.819605;154261;52941858;39;0
6.694556;46.517764;55948;54291521;3;1
6.705103;46.508837;55949;54371511;10;2
6.699155;46.562774;55950;54331571;9;0
6.696503;46.75617;55951;54331786;17;2
6.704846;46.623984;55952;54381639;20;1
6.844813;46.481765;318120;55441480;36;1
6.91362;46.772667;252579;55991803;3;0
6.699181;46.656333;55953;54341675;4;1
6.702411;46.515117;55954;54351518;36;1
6.702994;46.856065;55955;54391897;6;0
6.710041;46.722972;55956;54431749;6;0
6.795073;46.612835;219812;55071626;3;0
6.62027;46.518154;187041;53721522;18;3
6.698687;46.501599;55957;54321503;9;0
6.704591;46.546617;318126;54371553;16;0
6.721968;46.711353;55958;54521736;39;1
6.726947;46.631321;55959;54551647;5;2
6.779485;46.499397;219814;54941500;11;0
6.844875;46.713858;154273;55461738;3;0
6.726712;46.748266;55960;54561777;31;1
6.716191;46.849852;55961;54491890;3;1
6.719571;46.891254;55962;54521936;3;0
6.669224;46.558078;285360;54101566;10;0
6.635084;46.749457;187047;53861779;6;1
6.976667;46.290768;187048;56441267;6;0
6.931356;46.418315;219819;56101409;4;1
6.388529;46.506353;285362;51941511;3;1
6.622408;46.80874;318134;53771845;5;1
6.730301;46.574667;55966;54571584;3;0
6.730748;46.540485;55967;54571546;6;0
6.740411;46.599918;55969;54651612;9;0
6.654215;46.513895;318139;53981517;132;2
6.744407;46.593646;55971;54681605;4;0
6.203837;46.377643;252597;50501370;9;0
6.501618;46.823107;154285;52851862;87;2
6.74989;46.572988;55972;54721582;31;1
6.659293;46.613786;187056;54031628;15;0
6.315821;46.493963;219828;51381498;3;1
6.734717;46.736621;55973;54621764;3;0
6.743657;46.550461;55974;54671557;20;0
6.705236;46.691456;252601;54391714;14;3
6.742292;46.656604;55975;54671675;15;1
6.732359;46.716815;55976;54601742;3;0
6.198372;46.389279;252603;50461383;15;1
7.225037;46.490313;154291;58361488;6;0
6.747235;46.576571;285376;54701586;4;0
6.629998;46.826786;187064;53831865;3;0
6.751402;46.659358;55980;54741678;6;0
6.382276;46.69342;219835;51921719;3;0
6.770438;46.599199;219836;54881611;3;1
6.7692;46.593794;187065;54871605;38;0
6.773733;46.543444;55981;54901549;12;0
6.78234;46.478723;55982;54961477;3;2
6.779364;46.509292;55983;54941511;4;1
6.770593;46.586606;55984;54881597;3;0
6.779792;46.581262;55985;54951591;3;0
6.746264;46.550476;318155;54691557;13;1
6.668163;46.540978;285384;54091547;32;0
7.124906;46.463094;252613;57591458;8;0
6.792268;46.629011;55987;55051644;3;0
6.781389;46.771983;55989;54981803;9;0
6.783793;46.574088;55990;54981583;3;0
6.80524;46.747829;55991;55161776;14;0
6.659636;46.771217;219846;54051803;74;1
6.072943;46.465212;252618;49511469;3;1
6.830287;46.731773;285389;55351758;3;0
6.1689;46.315179;187077;50221301;21;0
6.49515;46.518983;285390;52761524;5;0
6.237912;46.600226;219849;50801617;41;0
6.802174;46.674946;55994;55131695;18;0
6.524041;46.583092;318163;52991595;5;0
6.801091;46.766697;55995;55131797;3;0
6.520417;46.56597;285394;52961576;3;0
6.78349;46.491324;55998;54971491;3;0
6.814033;46.553568;56001;55211560;3;1
6.399287;46.692677;252627;52051718;3;1
6.77243;46.543436;252629;54891549;35;0
6.627641;46.635155;219859;53791652;16;0
6.935166;46.428227;187089;56131420;3;3
6.808566;46.575127;285403;55171584;4;1
6.491319;46.514453;318174;52731519;23;2
6.934155;46.816838;219862;56151852;13;1
6.818069;46.542795;56007;55241548;10;0
6.595219;46.536862;318176;53531543;144;1
6.625367;46.612649;285406;53771627;30;1
6.6703;46.666037;252636;54121686;3;0
6.864648;46.576324;187097;55601585;5;1
6.756412;46.573028;252640;54771582;11;0
6.837219;46.461935;56014;55381458;135;1
6.842472;46.57621;285412;55431585;17;1
6.179103;46.37917;252643;50311372;3;1
6.634919;46.584829;219872;53841596;7;0
6.830854;46.681399;56020;55351702;4;0
6.931902;46.359844;154335;56101344;36;1
6.838376;46.710226;56023;55411734;80;1
6.265243;46.483555;219881;50991487;3;0
6.810768;46.497775;154340;55181498;4;0
7.132656;46.47391;285426;57651470;13;3
6.851857;46.552869;56029;55501559;3;0
6.655569;46.510306;252656;53991513;18;6
6.676655;46.678674;219888;54171700;8;0
6.859329;46.463849;56034;55551460;82;2
6.671896;46.553598;285432;54121561;8;1
6.839624;46.479939;187119;55401478;32;1
6.556319;46.523973;187120;53231529;79;3
6.703978;46.687849;187122;54381710;10;0
6.859661;46.554708;56039;55561561;8;0
6.578002;46.553826;285437;53401562;44;2
6.863391;46.571819;56040;55591580;12;0
6.550605;46.554515;285438;53191563;34;1
6.697824;46.755279;154355;54341785;3;1
6.862307;46.551124;56043;55581557;3;0
7.024848;46.951234;219901;56852001;31;1
6.663968;46.834217;154360;54091873;6;1
6.877666;46.453146;56053;55691448;13;0
6.928222;46.474974;219908;56081472;4;1
6.936684;46.826744;285452;56171863;4;0
6.889579;46.562053;252683;55791569;5;0
6.648858;46.523753;252684;53941528;162;2
6.744443;46.794253;219913;54701828;3;0
6.758709;46.701682;154372;54801725;3;1
6.881339;46.475653;56060;55721473;28;0
6.706103;46.62759;219915;54391643;13;0
6.882644;46.729341;56062;55751755;5;0
6.926043;46.429985;219917;56061422;6;18
6.885567;46.444189;56063;55751438;112;1
6.881568;46.706846;56064;55741730;5;1
6.944786;46.800692;187149;56231834;5;0
6.170529;46.412363;318235;50251409;3;0
6.163635;46.373599;219924;50191366;50;2
6.8955;46.491914;56070;55831491;3;0
6.189256;46.333399;285468;50381321;7;1
6.82526;46.483461;318239;55291482;4;0
6.940023;46.466031;187155;56171462;3;0
6.894504;46.461324;56072;55821457;9;3
6.695169;46.75796;187157;54321788;11;0
6.882982;46.442377;219929;55731436;9;1
6.63173;46.536228;285473;53811542;295;1
6.9341;46.403034;187161;56121392;11;0
6.906308;46.452384;56077;55911447;13;7
6.904402;46.778021;56078;55921809;3;0
6.703516;46.625774;252704;54371641;27;2
6.645383;46.583103;154391;53921594;32;0
6.166761;46.351142;219934;50211341;58;1
6.910326;46.440708;56079;55941434;16;10
6.878428;46.505325;219940;55701506;3;0
6.893103;46.471213;154404;55811468;10;3
6.783989;46.557897;285489;54981565;7;0
6.922157;46.428168;56092;56031420;27;28
6.92077;46.437158;56093;56021430;3;4
6.918694;46.382274;56094;56001369;22;1
6.793155;46.6641;187180;55061683;67;0
6.602901;46.545915;318266;53591553;6;2
6.12998;46.313836;285496;49921300;39;0
6.927032;46.877076;56100;56101919;4;0
6.470988;46.558364;285497;52581568;3;0
6.419727;46.510236;318269;52181515;4;1
6.931533;46.399424;56102;56101388;19;1
6.543372;46.59764;154415;53141611;26;0
6.592626;46.535943;187187;53511542;28;0
6.92704;46.876177;56103;56101918;3;0
6.614429;46.559493;285502;53681568;3;0
7.073598;46.349594;252732;57191332;6;0
6.21078;46.415504;219963;50561412;16;1
6.337391;46.458188;285506;51541458;28;3
6.571641;46.706711;187193;53371732;22;1
6.944638;46.816884;56110;56231852;16;1
6.941926;46.826767;56112;56211863;106;0
6.943278;46.822275;56114;56221858;32;1
6.872375;46.461216;187199;55651457;4;1
6.938036;46.822252;56115;56181858;86;1
6.258144;46.510472;219973;50941517;14;0
6.948683;46.804307;56119;56261838;3;0
6.321712;46.65056;318287;51451672;4;1
6.5946;46.827429;285516;53561866;9;1
6.167639;46.369146;187204;50221361;7;1
6.362904;46.484522;285518;51741487;8;0
6.955729;46.310471;56123;56281289;6;0
6.958915;46.832237;56125;56341869;3;2
6.963525;46.309605;56126;56341288;24;1
6.305327;46.497457;154439;51301502;15;0
7.042084;46.929706;285524;56981977;18;0
6.590966;46.808511;219982;53531845;6;2
6.626637;46.528095;318296;53771533;128;3
6.425313;46.699208;285526;52251725;3;0
6.963148;46.352783;318297;56341336;3;1
6.883841;46.740142;285527;55761767;3;0
6.962085;46.325791;56131;56331306;3;0
6.398542;46.731354;219986;52051761;3;0
6.638649;46.773771;187215;53891806;46;1
6.968655;46.316823;56132;56381296;91;5
6.17248;46.328714;285529;50251316;14;0
6.491472;46.654796;285531;52751675;9;0
6.3191;46.650534;252760;51431672;7;1
6.630386;46.538917;154452;53801545;225;0
6.509969;46.718821;154453;52901746;4;1
6.719565;46.499034;219996;54481500;10;1
6.968129;46.827777;56141;56411864;10;0
6.635991;46.776451;318310;53871809;11;0
6.983027;46.925888;56147;56531973;3;1
6.376964;46.498149;252775;51851502;3;0
6.997436;46.289951;56149;56601266;14;2
6.912946;46.438921;220006;55961432;67;9
7.003001;46.243195;56152;56641214;3;0
6.996424;46.254864;56153;56591227;3;1
6.359087;46.479988;252780;51711482;15;1
6.516632;46.788144;187238;52961823;10;0
7.001669;46.247688;56155;56631219;3;1
6.455063;46.573521;220013;52461585;55;1
6.861751;46.480953;187242;55571479;14;0
6.651556;46.517475;318328;53961521;57;2
6.650227;46.519265;220015;53951523;16;2
6.634724;46.51016;187245;53831513;116;3
7.013898;46.34219;56161;56731324;36;13
7.015435;46.31161;56164;56741290;6;1
6.389279;46.467675;285566;51941468;19;0
6.573103;46.533997;187254;53361540;8;5
7.026386;46.236986;56170;56821207;32;1
7.022914;46.352118;56171;56801335;23;1
6.656978;46.773898;318339;54031806;13;2
6.906022;46.746544;285569;55931774;3;0
6.638846;46.583957;252798;53871595;24;3
7.037596;46.299096;56173;56911276;21;1
6.221231;46.587454;318341;50671603;7;0
7.030113;46.258589;56177;56851231;4;3
6.553473;46.61841;187262;53221634;3;0
7.038477;46.355773;56179;56921339;3;0
6.549999;46.82979;154497;53221869;6;1
6.938879;46.448934;285583;56161443;3;0
6.726232;46.487381;252814;54531487;44;2
6.307999;46.431809;187275;51311429;8;0
7.046735;46.471846;56193;56991468;3;1
7.051237;46.935134;56198;57051983;3;0
7.043004;46.26943;220054;56951243;3;0
6.22187;46.385035;187284;50641378;182;3
6.530187;46.605632;154514;53041620;41;3
6.468429;46.555643;154516;52561565;10;0
7.022527;46.911646;220059;56831957;4;0
6.897377;46.56479;285601;55851572;3;1
6.413759;46.619038;285602;52151636;12;2
7.072759;46.281224;56205;57181256;8;2
6.372394;46.597966;285605;51831613;33;1
7.077937;46.28304;56209;57221258;8;3
6.941334;46.323003;154523;56171303;3;0
6.543928;46.721791;318379;53161749;4;1
6.78622;46.697345;187296;55011720;7;1
6.917987;46.456036;154529;56001451;3;3
6.888832;46.507175;318387;55781508;4;1
7.022373;46.253163;220078;56791225;35;3
6.540034;46.719961;187310;53131747;10;1
6.706091;46.62849;285623;54391644;13;0
6.863273;46.46027;285625;55581456;10;2
6.492654;46.512665;318398;52741517;89;4
6.706393;46.509745;220085;54381512;26;3
6.576454;46.569108;318400;53391579;5;0
6.603026;46.53782;252859;53591544;38;2
7.10415;46.45134;56233;57431445;9;0
6.655068;46.815266;220088;54021852;5;1
6.241665;46.489607;154551;50811494;3;0
