8501555;6
8501557;191
8501558;97
8501700;13
8501701;27
8501702;6
8501704;
8501705;
8501706;12
8501707;6
8501708;30
8501711;3
8501725;1596
8501727;55
8501733;22
8501734;652
8501757;1595
8501758;38
8501759;268
8501763;96
8501766;79
8501776;219
8501777;120
8501778;108
8501792;125
8501793;
8501799;49
8501850;719
8501851;1425
8501852;302
8501853;354
8501854;403
8501855;529
8501856;614
8501857;614
8501860;373
8501862;24
8501863;151
8501865;934
8501867;99
8501868;51
8501870;1888
8501871;472
8501872;276
8501873;41
8501892;205
8501894;132
8501966;836
8501967;578
8501968;332
8501969;365
8501970;341
8501974;1699
8501975;228
8501978;507
8501980;307
8501981;47
8504000;3229
8504003;553
8504007;6
8504009;132
8504010;1227
8504011;565
8504012;935
8504013;1526
8504014;615
8504015;2483
8504016;252
8504017;373
8504019;29
8504020;104
8504039;888
8504040;979
8504120;831
8504121;949
8504122;262
8504123;616
8504126;1107
8504127;450
8504130;551
8504134;3073
8504135;566
8504141;13
8504142;7
8504144;235
8504152;219
8504153;342
8504154;73
8504155;98
8504158;41
8504159;160
8504162;18
8504163;134
8504164;44
8504165;221
8504166;598
8504169;520
8504171;1179
8504172;113
8504173;849
8504174;1135
8504176;5658
8504177;1000
8504178;948
8504200;820
8504201;897
8504202;32
8504203;533
8504246;
8504263;6
8504270;165
8504271;91
8504272;346
8504273;10
8504275;
8504277;
8504290;45
8504291;377
8504292;488
8504293;21
8504294;46
8504295;747
8504296;4
8504297;3
8504298;1446
8504299;120
8504458;551
8504556;511
8504557;769
8504558;444
8504569;40
8504571;11
8504651;237
8504652;456
8504653;714
8504654;491
8504655;347
8504656;419
8504657;276
8504659;520
8504660;266
8504661;94
8504687;73
8504688;13
8504689;64
8504691;65
8504694;119
8504695;90
8504696;117
8504698;145
8504712;877
8504728;883
8504754;141
8504758;771
8504759;378
8504774;1831
8504775;1228
8504780;3014
8504781;1628
8504789;400
8504790;212
8504886;275
8504903;31
8504954;77
8504955;135
8504956;208
8504958;37
8504959;310
8504961;95
8504962;155
8504963;2174
8504964;3112
8504966;1025
8504967;1420
8504973;269
8504981;231
8504986;452
8504987;214
8504988;115
8504989;676
8504997;82
8504998;30
8504999;764
8507650;180
8507651;53
8507652;18
8507653;288
8507654;172
8507655;369
8507656;6
8507658;398
8507659;1778
8507660;114
8507661;363
8507662;6
8507663;34
8507664;273
8507665;106
8507666;3
8507670;298
8507672;109
8507674;311
8507675;262
8507677;411
8507678;87
8507679;181
8507680;54
8507681;235
8507682;144
8507683;14
8507684;201
8507685;129
8507686;432
8507687;103
8507688;82
8507689;204
8507690;12
8507691;148
8507694;102
8507695;438
8507696;152
8507697;261
8507698;161
8507950;14
