X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
6.968063,46.30428,6.9680630000,46.3042800000,8517482,En Chélex,CheminFer,393,5401,Aigle,4,4,88,693
6.607659,46.746418,6.6076590000,46.7464180000,8501110,Ependes,CheminFer,440,5914,Ependes (VD),7,27,266,350
6.802504,46.668057,6.8025040000,46.6680570000,8504120,Moudon,CheminFer,510,5678,Moudon,5,275,1769,5208
6.528112,46.525738,6.5281120000,46.5257380000,8515640,Lausanne-Triage P1,CheminFer,392,5638,Lonay,13,38,622,4617
6.97189,46.278793,6.9718900000,46.2787930000,8501401,St-Triphon,CheminFer,405,5409,Ollon,16,45,95,134
7.186067,46.482092,7.1860670000,46.4820920000,8501396,Flendruz,CheminFer,980,5843,Rougemont,4,11,144,252
6.895944,46.465694,6.8959440000,46.4656940000,8501281,Blonay,CheminFer,620,5881,Blonay,82,989,2660,5082
6.689932,46.832519,6.6899320000,46.8325190000,8504202,Onnens-Bonvillars,CheminFer,435,5565,Onnens (VD),,32,38,485
6.904485,46.443155,6.9044850000,46.4431550000,8501189,Colondalles,CheminFer,476,5606,Lutry,67,269,2048,9682
7.100635,46.353303,7.1006350000,46.3533030000,8517485,Sur-le-Buis,CheminFer,1124,5411,Ormont-Dessus,3,6,39,151
6.521296,46.521068,6.5212960000,46.5210680000,8515342,Lausanne-Triage sectionnement,CheminFer,390,5638,Lonay,23,408,1745,6130
6.493958,46.511102,6.4939580000,46.5111020000,8501037,Morges,CheminFer,381,5642,Morges,,2066,6614,11836
6.508039,46.518199,6.5080390000,46.5181990000,8501047,Morges-St-Jean,CheminFer,380,5642,Morges,205,1668,3188,7269
6.399696,46.475751,6.3996960000,46.4757510000,8501035,Allaman,CheminFer,422,5851,Allaman,7,28,93,555
6.67832,46.513087,6.6783200000,46.5130870000,8504010,La Conversion,CheminFer,501,5606,Lutry,65,552,1848,9439
